protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.05,circuit0499.qasm,2,1,1,✓,71
FK12,malicious,0.05,circuit8036.qasm,0,1,1,✓,64
FK12,malicious,0.05,circuit6424.qasm,3,0,0,✓,36
FK12,malicious,0.15,circuit4611.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit5679.qasm,5,1,1,✓,58
FK12,malicious,0.15,circuit3191.qasm,6,1,1,✓,55
FK12,malicious,0.15,circuit5607.qasm,5,1,1,✓,60
FK12,malicious,0.2,circuit2886.qasm,11,1,1,✓,67
FK12,malicious,0.2,circuit6663.qasm,7,1,0,✗,50
FK12,malicious,0.15,circuit0302.qasm,2,1,1,✓,51
FK12,malicious,0.15,circuit7587.qasm,8,1,1,✓,65
FK12,malicious,0.2,circuit3387.qasm,10,1,1,✓,68
FK12,malicious,0.2,circuit3047.qasm,7,1,1,✓,58
FK12,malicious,0.2,circuit2244.qasm,7,1,1,✓,66
FK12,malicious,0.2,circuit7085.qasm,14,0,0,✓,35
FK12,malicious,0.2,circuit4932.qasm,9,1,1,✓,51
FK12,malicious,0,circuit2244.qasm,0,1,1,✓,65
FK12,malicious,0,circuit7101.qasm,0,1,1,✓,67
FK12,malicious,0,circuit9678.qasm,0,1,1,✓,69
FK12,malicious,0,circuit7947.qasm,0,1,1,✓,69
FK12,malicious,0.2,circuit8556.qasm,11,0,0,✓,40
FK12,malicious,0.2,circuit7799.qasm,8,0,0,✓,46
FK12,malicious,0.2,circuit8100.qasm,10,0,0,✓,27
FK12,malicious,0.2,circuit3751.qasm,11,1,1,✓,57
FK12,malicious,0.2,circuit5383.qasm,9,0,0,✓,38
FK12,malicious,0.15,circuit6067.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit0905.qasm,3,1,1,✓,63
FK12,malicious,0.15,circuit8253.qasm,7,1,1,✓,59
FK12,malicious,0.15,circuit0255.qasm,10,0,0,✓,36
FK12,malicious,0.15,circuit2419.qasm,5,1,1,✓,67
FK12,malicious,0.15,circuit3589.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit6124.qasm,6,0,0,✓,42
FK12,malicious,0.15,circuit5028.qasm,6,0,0,✓,34
FK12,malicious,0.15,circuit8043.qasm,9,0,0,✓,39
FK12,malicious,0.15,circuit7101.qasm,7,1,1,✓,66
FK12,malicious,0.15,circuit5565.qasm,6,1,1,✓,52
FK12,malicious,0.15,circuit8326.qasm,5,0,0,✓,39
FK12,malicious,0.15,circuit7242.qasm,6,1,1,✓,63
FK12,malicious,0.15,circuit1864.qasm,8,1,1,✓,58
FK12,malicious,0.15,circuit4703.qasm,8,1,1,✓,69
FK12,malicious,0.15,circuit2343.qasm,4,0,0,✓,44
FK12,malicious,0.15,circuit7947.qasm,10,1,1,✓,60
FK12,malicious,0.15,circuit1480.qasm,8,1,1,✓,65
FK12,malicious,0.15,circuit2971.qasm,4,1,1,✓,63
FK12,malicious,0.15,circuit0730.qasm,5,1,1,✓,53
FK12,malicious,0.15,circuit1737.qasm,3,1,1,✓,61
FK12,malicious,0.15,circuit2715.qasm,2,0,0,✓,42
FK12,malicious,0.15,circuit5613.qasm,5,0,0,✓,32
FK12,malicious,0.15,circuit6663.qasm,4,0,0,✓,36
FK12,malicious,0.15,circuit3669.qasm,6,0,0,✓,41
FK12,malicious,0.15,circuit2886.qasm,5,1,1,✓,73
FK12,malicious,0.15,circuit7085.qasm,3,0,0,✓,31
FK12,malicious,0.15,circuit2244.qasm,6,1,1,✓,56
FK12,malicious,0.15,circuit3387.qasm,7,1,1,✓,58
FK12,malicious,0.15,circuit2017.qasm,5,1,1,✓,64
FK12,malicious,0.15,circuit7799.qasm,6,0,0,✓,46
FK12,malicious,0.15,circuit9678.qasm,3,1,1,✓,64
FK12,malicious,0.15,circuit4932.qasm,5,1,1,✓,65
FK12,malicious,0.15,circuit3840.qasm,7,0,0,✓,37
FK12,malicious,0.15,circuit8100.qasm,6,0,0,✓,43
FK12,malicious,0.15,circuit6734.qasm,7,1,1,✓,63
FK12,malicious,0.15,circuit3047.qasm,3,1,1,✓,64
FK12,malicious,0.15,circuit3751.qasm,3,1,1,✓,58
FK12,malicious,0.15,circuit8556.qasm,4,0,0,✓,32
FK12,malicious,0.15,circuit9638.qasm,6,0,0,✓,43
FK12,malicious,0.15,circuit5383.qasm,8,0,0,✓,36
FK12,malicious,0.2,circuit9638.qasm,11,0,0,✓,41
FK12,malicious,0.15,circuit5296.qasm,8,1,1,✓,70
FK12,malicious,0.15,circuit0571.qasm,3,0,0,✓,40
FK12,malicious,0.2,circuit2971.qasm,5,1,1,✓,55
FK12,malicious,0.2,circuit3647.qasm,6,1,1,✓,58
FK12,malicious,0.15,circuit2587.qasm,8,1,1,✓,60
FK12,malicious,0.15,circuit0742.qasm,6,1,1,✓,60
